Training Accuracy,Testing Accuracy
71.0,93.11
86.0,78.63
88.0,92.01
92.0,93.07
92.0,91.23
94.0,92.34
92.0,89.46
98.0,92.93
96.0,92.85
95.0,93.16
96.0,92.14
98.0,94.01
96.0,91.37
99.0,93.27
100.0,93.27
100.0,93.27
100.0,93.27
100.0,93.27
100.0,93.27
100.0,93.27
