Training Accuracy,Testing Accuracy
81.0,92.33
91.0,89.87
92.5,91.09
92.0,87.69
93.5,91.97
94.0,92.54
97.0,89.63
97.5,91.59
97.5,92.0
96.5,90.0
97.5,91.07
98.5,92.92
97.5,92.63
98.0,92.71
98.5,93.79
100.0,93.79
100.0,93.79
100.0,93.79
100.0,93.79
100.0,93.79
