State,Action,Q-Value
"(0, 0)",down,-0.6496699008765843
"(0, 0)",right,-0.6424720655947553
"(0, 1)",down,-0.6123815041226558
"(0, 1)",left,-0.6216187189765858
"(0, 1)",right,-0.5961267206092876
"(0, 2)",down,-0.5713896095054143
"(0, 2)",left,-0.5795071946027113
"(0, 2)",right,-0.5412133932229124
"(0, 3)",down,-0.47917228175611853
"(0, 3)",left,-0.541012187241034
"(0, 3)",right,-0.5299536838170171
"(0, 4)",down,-0.46636114729466743
"(0, 4)",left,-0.48950924170917665
"(0, 4)",right,-0.4879110085109546
"(0, 5)",down,-0.4262344555805278
"(0, 5)",left,-0.44877616619115696
"(0, 5)",right,-0.4486559675064489
"(0, 6)",down,-0.4246021951647378
"(0, 6)",left,-0.42485262154419506
"(0, 6)",right,-0.42433980866305593
"(0, 7)",down,-0.40414589127678385
"(0, 7)",left,-0.40486426085752925
"(0, 7)",right,-0.4040882031446381
"(0, 8)",down,-0.3850004254829729
"(0, 8)",left,-0.3857573593268297
"(0, 8)",right,-0.38535674934880876
"(0, 9)",down,-0.3691500750209907
"(0, 9)",left,-0.36979789274178715
"(1, 0)",up,-0.6188743380723573
"(1, 0)",down,-0.6174532155932861
"(1, 0)",right,-0.6173447482538146
"(1, 1)",up,-0.5890710289426536
"(1, 1)",left,-0.5920177581723384
"(1, 1)",right,-0.5742083311604161
"(1, 2)",up,-0.5579217341127504
"(1, 2)",left,-0.5571006643279742
"(1, 2)",right,-0.5016274180689976
"(1, 3)",up,-0.5218121888627867
"(1, 3)",left,-0.5298019166444659
"(1, 3)",right,-0.41235928135703703
"(1, 4)",up,-0.4797673429840232
"(1, 4)",left,-0.47767471483324503
"(1, 4)",right,-0.3423055277278765
"(1, 5)",up,-0.43677620257383204
"(1, 5)",down,-0.2662700737307968
"(1, 5)",left,-0.42172923530814815
"(1, 5)",right,-0.4283845656119792
"(1, 6)",up,-0.414192951463831
"(1, 6)",left,-0.40261612449706274
"(1, 6)",right,-0.413856491583529
"(1, 7)",up,-0.3995669700549932
"(1, 7)",left,-0.39989018110469937
"(1, 7)",right,-0.39923427313600635
"(1, 8)",up,-0.3792296486639223
"(1, 8)",left,-0.3795566669990285
"(1, 8)",right,-0.37929206851537256
"(1, 9)",up,-0.3514029727523242
"(1, 9)",down,-0.3514935779386898
"(1, 9)",left,-0.3519843651143644
"(2, 0)",up,-0.5911208386815768
"(2, 0)",down,-0.5907320030220174
