State,Action,Q-Value
"(6, 7)",up,0.13158841225936832
"(6, 7)",down,0.13877143176075465
"(6, 7)",left,0.5389999779146999
"(6, 7)",right,-0.7440675593659193
"(6, 8)",up,-0.12444186309349367
"(6, 8)",down,-0.030029375535409897
"(6, 8)",left,0.24622145932171713
"(6, 8)",right,-0.0444933205903056
"(6, 9)",up,-0.16062929840422235
"(6, 9)",down,-0.16113573785354876
"(6, 9)",left,-0.27822316187166374
"(7, 0)",up,-0.46460898629467
"(7, 0)",down,-0.46441787379037364
"(7, 0)",right,-0.46451278203231716
"(7, 1)",up,-0.457205625381741
"(7, 1)",down,-0.45636223515180924
"(7, 1)",left,-0.45672915616439386
"(7, 1)",right,-0.4564472785491686
"(7, 2)",up,-0.44391130953468866
"(7, 2)",down,-0.43795970558371505
"(7, 2)",left,-0.4412789557605596
"(7, 2)",right,-0.8368324726642614
"(7, 3)",up,-0.21581447318400712
"(7, 3)",down,-0.21501476141309503
"(7, 3)",left,-0.21733445089307907
"(7, 5)",up,0.6177518916359194
"(7, 5)",down,-0.03543382676570137
"(7, 5)",right,-0.1781781423587719
"(7, 6)",up,0.45877722149146427
"(7, 6)",down,-0.03198517536657499
"(7, 6)",left,-0.1378456379114684
"(7, 6)",right,0.008233071847692166
"(7, 7)",up,0.38450803850182097
"(7, 7)",down,-0.055218774023332674
"(7, 7)",left,-0.43745253664640904
"(7, 7)",right,-0.09804133047461136
"(7, 8)",up,-0.2892389167963047
"(7, 8)",down,-0.10889037965133605
"(7, 8)",left,0.029184832498766074
"(7, 8)",right,-0.11043399590209735
"(7, 9)",up,-0.13457013031841855
"(7, 9)",down,-0.13496992032254784
"(7, 9)",left,-0.13173682377350066
"(8, 0)",up,-0.4435123496936927
"(8, 0)",down,-0.44339648078663835
"(8, 0)",right,-0.4434986096198298
"(8, 1)",up,-0.4289423137536447
"(8, 1)",down,-0.4293917275852618
"(8, 1)",left,-0.4297588749407133
"(8, 1)",right,-0.4285749882368893
"(8, 2)",up,-0.3938148851273461
"(8, 2)",down,-0.3946417624749762
"(8, 2)",left,-0.39964944768814314
"(8, 2)",right,-0.3689472773173412
"(8, 3)",up,-0.6810252770107736
"(8, 3)",down,-0.34889842479748095
"(8, 3)",left,-0.3550844395663344
"(8, 3)",right,-0.27192840229286647
"(8, 4)",down,-0.302324850339347
"(8, 4)",left,-0.307539700716661
"(8, 4)",right,-0.15592829731999341
"(8, 5)",up,-0.45008403751203724
"(8, 5)",down,-0.24127167665562022
"(8, 5)",left,-0.2446393694258886
"(8, 5)",right,-0.028944533479370236
"(8, 6)",up,-0.4393663637163767
"(8, 6)",down,-0.19043764593216544
"(8, 6)",left,-0.18179343087019675
"(8, 6)",right,0.10286956323868883
"(8, 7)",up,0.24073248348612886
"(8, 7)",down,-0.14268110109312596
"(8, 7)",left,-0.12189307897714015
"(8, 7)",right,-0.1441962404701525
"(8, 8)",up,-0.12587929456571814
"(8, 8)",down,-0.12676392496718766
"(8, 8)",left,-0.07747147962467635
"(8, 8)",right,-0.1262794769880631
"(8, 9)",up,-0.1315059731504497
"(8, 9)",down,-0.13288553266194483
"(8, 9)",left,-0.13189361794695625
"(9, 0)",up,-0.43110459751716207
"(9, 0)",right,-0.4305305282457751
"(9, 1)",up,-0.4174993418966822
"(9, 1)",left,-0.4163321888956585
"(9, 1)",right,-0.4160043510181691
"(9, 2)",up,-0.3869131800965773
"(9, 2)",left,-0.38676934780647126
"(9, 2)",right,-0.38701054807984087
"(9, 3)",up,-0.3465383703757021
"(9, 3)",left,-0.34700539683216874
"(9, 3)",right,-0.3466846024433021
"(9, 4)",up,-0.28859389748419584
"(9, 4)",left,-0.3003819272082663
"(9, 4)",right,-0.2971583989575111
"(9, 5)",up,-0.22671315413357448
"(9, 5)",left,-0.2453623246577483
"(9, 5)",right,-0.24404935395692384
"(9, 6)",up,-0.15737343137107512
"(9, 6)",left,-0.19633183174536992
"(9, 6)",right,-0.19162803875170073
"(9, 7)",up,-0.08335488261509329
"(9, 7)",left,-0.15301892268762612
"(9, 7)",right,-0.14942039546451785
"(9, 8)",up,-0.1371242964696871
"(9, 8)",left,-0.13712258878125883
"(9, 8)",right,-0.1370556106268587
"(9, 9)",up,-0.1347679120066909
"(9, 9)",left,-0.1352970272663059
