State,Action,Q-Value
"(0, 0)",down,-0.6514884565398966
"(0, 0)",right,-0.6414929066689968
"(0, 1)",down,-0.6138164557749046
"(0, 1)",left,-0.6417031099229612
"(0, 1)",right,-0.59457791657124
"(0, 2)",down,-0.5680501454175727
"(0, 2)",left,-0.5994645340297995
"(0, 2)",right,-0.539838939590435
"(0, 3)",down,-0.4780767897247531
"(0, 3)",left,-0.5648163722543204
"(0, 3)",right,-0.5252040840609468
"(0, 4)",down,-0.43992501887814534
"(0, 4)",left,-0.5071446199585149
"(0, 4)",right,-0.48595273007692363
"(0, 5)",down,-0.3896216246615244
"(0, 5)",left,-0.4633447977686871
"(0, 5)",right,-0.45327331780466673
"(0, 6)",down,-0.43086133838485663
"(0, 6)",left,-0.43096972930836974
"(0, 6)",right,-0.4310527889671115
"(0, 7)",down,-0.41093804459408123
"(0, 7)",left,-0.4110161205522609
"(0, 7)",right,-0.4112284080885964
"(0, 8)",down,-0.39220789584806426
"(0, 8)",left,-0.3914703874969607
"(0, 8)",right,-0.39130826805505586
"(0, 9)",down,-0.3753611626615604
"(0, 9)",left,-0.37446263199306035
"(1, 0)",up,-0.6243674771690656
"(1, 0)",down,-0.6182064664443805
"(1, 0)",right,-0.6164320170837084
"(1, 1)",up,-0.6010196700247832
"(1, 1)",left,-0.6036055171859971
"(1, 1)",right,-0.5647543713524436
"(1, 2)",up,-0.5727738257518278
"(1, 2)",left,-0.5758440940743326
"(1, 2)",right,-0.4886168640307337
"(1, 3)",up,-0.539389952864119
"(1, 3)",left,-0.5438421873344579
"(1, 3)",right,-0.41089562505618005
"(1, 4)",up,-0.5020538360552302
"(1, 4)",left,-0.4935145689987475
"(1, 4)",right,-0.3416410102918101
"(1, 5)",up,-0.4590223058324923
"(1, 5)",down,-0.26613974422123965
"(1, 5)",left,-0.43517727492742747
"(1, 5)",right,-0.4493498821519823
"(1, 6)",up,-0.42845243524959453
"(1, 6)",left,-0.38247781303301664
"(1, 6)",right,-0.4236793491910166
"(1, 7)",up,-0.4076161759182594
"(1, 7)",left,-0.40748823369024584
"(1, 7)",right,-0.40773516182585834
"(1, 8)",up,-0.3859255903330386
"(1, 8)",left,-0.38770281393054573
"(1, 8)",right,-0.38588266082483824
"(1, 9)",up,-0.35696235653440367
"(1, 9)",down,-0.3564063751876861
"(1, 9)",left,-0.3568670418735462
"(2, 0)",up,-0.5925296209963284
"(2, 0)",down,-0.5906799803241596
"(2, 5)",up,-0.3662435440158817
"(2, 5)",down,-0.18331978967385082
"(2, 9)",up,-0.31110833031661644
"(2, 9)",down,-0.3070481465953354
"(3, 0)",up,-0.5607661735000996
"(3, 0)",down,-0.5606800696489926
"(3, 0)",right,-0.5608102214911407
"(3, 1)",down,-0.5398494880659663
"(3, 1)",left,-0.5399259463238069
"(3, 1)",right,-0.5398573750887717
"(3, 2)",down,-0.5279136449022489
"(3, 2)",left,-0.5282390210340031
"(3, 2)",right,-1.0508001418308257
"(3, 3)",down,-0.33430413484344385
"(3, 3)",left,-0.3350988782495774
"(3, 5)",up,-0.3005966025254001
"(3, 5)",down,-0.4750312414621463
"(3, 5)",right,-0.0917751068461787
"(3, 6)",down,-0.9273617493787492
"(3, 6)",left,-0.23058223561575836
"(3, 6)",right,0.009554596019948293
"(3, 7)",down,0.12189291030975949
"(3, 7)",left,-0.14842592730473742
"(3, 7)",right,-0.17835702658385433
"(3, 8)",down,-0.1774785839598798
"(3, 8)",left,-0.03466130560487872
"(3, 8)",right,-0.22804324602934772
"(3, 9)",up,-0.2596971436746292
"(3, 9)",down,-0.24919518702767818
"(3, 9)",left,-0.22413091424312853
"(4, 0)",up,-0.5357258767343387
"(4, 0)",down,-0.5353128487604933
"(4, 0)",right,-0.5353084593519416
"(4, 1)",up,-0.5251788723139862
"(4, 1)",down,-0.5250869026286678
"(4, 1)",left,-0.5254295222919247
"(4, 1)",right,-0.5248557873877914
"(4, 2)",up,-0.5158446716538547
"(4, 2)",down,-0.5159943025311934
"(4, 2)",left,-0.5167092952179491
"(4, 2)",right,-0.5156699428764147
"(4, 3)",up,-1.024269335248878
"(4, 3)",down,-0.5086221230116318
"(4, 3)",left,-0.5083909851920695
"(4, 5)",up,-0.07221234088095374
"(4, 5)",down,0.7806241097015558
"(4, 5)",right,-0.19870531208552097
"(4, 6)",up,-0.09557820232060457
"(4, 6)",down,-0.19818048100945557
