State,Action,Q-Value
"(4, 6)",left,-0.20818113005847103
"(4, 6)",right,0.09687850264175335
"(4, 7)",up,-0.05558736250500219
"(4, 7)",down,0.24658469931865246
"(4, 7)",left,-0.9365122437532631
"(4, 7)",right,-0.09670352003527082
"(4, 8)",up,-0.17679643963235928
"(4, 8)",down,-0.4869109075409835
"(4, 8)",left,0.07128457990954805
"(4, 8)",right,-0.19620373618314516
"(4, 9)",up,-0.20736091251120764
"(4, 9)",down,-0.20546188273147029
"(4, 9)",left,-0.1707955759528607
"(5, 0)",up,-0.5123339692412393
"(5, 0)",down,-0.5124624818194258
"(5, 0)",right,-0.5124639278655421
"(5, 1)",up,-0.5063934924938848
"(5, 1)",down,-0.5063879019880311
"(5, 1)",left,-0.5070251653290111
"(5, 1)",right,-0.5067489956737473
"(5, 2)",up,-0.5013659312847195
"(5, 2)",down,-0.5010547629286708
"(5, 2)",left,-0.5012200915553426
"(5, 2)",right,-0.5008466314270312
"(5, 3)",up,-0.4999006421379055
"(5, 3)",down,-0.5001054102852233
"(5, 3)",left,-0.49987078517012046
"(5, 5)",up,0.0
"(5, 5)",down,0.0
"(5, 5)",right,0.0
"(5, 6)",up,-0.3108519239148744
"(5, 6)",down,0.12721446347591311
"(5, 6)",left,0.8689520664943522
"(5, 6)",right,0.046612087718083964
"(5, 7)",up,0.05184185969595793
"(5, 7)",down,0.38509926846611087
"(5, 7)",left,-0.3407191246334598
"(5, 7)",right,-0.8213167593935982
"(5, 8)",up,-0.050455501605758686
"(5, 8)",down,-0.22147978809246005
"(5, 8)",left,0.1608512429754601
"(5, 8)",right,-0.0770501399945265
"(5, 9)",up,-0.18717422803859537
"(5, 9)",down,-0.18697491919619164
"(5, 9)",left,-0.4569809269058643
"(6, 0)",up,-0.48990716624904734
"(6, 0)",down,-0.4898423920677025
"(6, 0)",right,-0.48969425401861344
"(6, 1)",up,-0.4848709080706548
"(6, 1)",down,-0.484215181788917
"(6, 1)",left,-0.4849247179104515
"(6, 1)",right,-0.484673659323738
"(6, 2)",up,-0.4801017510580618
"(6, 2)",down,-0.47961354578116355
"(6, 2)",left,-0.47960936092944856
"(6, 2)",right,-0.47996263955988877
"(6, 3)",up,-0.4896546642491441
"(6, 3)",down,-1.0225155885065498
"(6, 3)",left,-0.49003893516726105
"(6, 5)",up,0.8999999995593312
"(6, 5)",down,-0.5187311500168245
"(6, 5)",right,0.475530597528536
"(6, 6)",up,-0.3873687003331473
"(6, 6)",down,-0.6507437208439718
"(6, 6)",left,0.7099999957736574
"(6, 6)",right,0.3288467009632399
"(6, 7)",up,0.18821387093483138
"(6, 7)",down,0.16918504843611348
"(6, 7)",left,0.5389999772445834
"(6, 7)",right,-0.8062716015037829
"(6, 8)",up,-0.19637684456098525
"(6, 8)",down,-0.04399548222573577
"(6, 8)",left,0.3169717466998836
"(6, 8)",right,-0.061888157165027415
"(6, 9)",up,-0.16511131290317752
"(6, 9)",down,-0.16555946256362375
"(6, 9)",left,-0.3762526699171469
"(7, 0)",up,-0.46700058110411996
"(7, 0)",down,-0.4667004595051998
"(7, 0)",right,-0.4667882366678701
"(7, 1)",up,-0.45832339332923605
"(7, 1)",down,-0.4583991513424364
"(7, 1)",left,-0.4585829585675924
"(7, 1)",right,-0.4586576581855142
"(7, 2)",up,-0.4461424979897738
"(7, 2)",down,-0.43735058503989704
"(7, 2)",left,-0.4429833622724205
"(7, 2)",right,-1.0427504380789379
"(7, 3)",up,-0.2923125498285696
"(7, 3)",down,-0.29146817946229725
"(7, 3)",left,-0.2932019944313737
"(7, 5)",up,0.6749354896427701
"(7, 5)",down,-0.05604499013930592
"(7, 5)",right,-0.2990894048899849
"(7, 6)",up,0.5088483054765724
"(7, 6)",down,-0.03788550006630497
"(7, 6)",left,-0.256945471585464
"(7, 6)",right,0.024719466246189706
"(7, 7)",up,0.3846946608735246
"(7, 7)",down,-0.02107037941677591
"(7, 7)",left,-0.4906200604898967
"(7, 7)",right,-0.09801309429652601
"(7, 8)",up,-0.3576894012136039
"(7, 8)",down,-0.11988734024840988
"(7, 8)",left,0.07368532516343915
"(7, 8)",right,-0.11995159755980142
"(7, 9)",up,-0.1369875346552203
"(7, 9)",down,-0.13658014899987905
"(7, 9)",left,-0.12235043018342807
"(8, 0)",up,-0.4465374512008337
"(8, 0)",down,-0.4439576151247988
"(8, 0)",right,-0.4449946928070852
"(8, 1)",up,-0.43255745160100756
"(8, 1)",down,-0.43019475726107453
"(8, 1)",left,-0.42990476150173007
"(8, 1)",right,-0.42946089934359727
"(8, 2)",up,-0.4079500444922195
"(8, 2)",down,-0.40207254179261886
"(8, 2)",left,-0.40814461628723436
"(8, 2)",right,-0.364067680881755
"(8, 3)",up,-0.9602146265113882
"(8, 3)",down,-0.35806354751881925
"(8, 3)",left,-0.3685438556397947
"(8, 3)",right,-0.26310464359443547
"(8, 4)",down,-0.31622312313017026
"(8, 4)",left,-0.3233089273504136
"(8, 4)",right,-0.14838191233284428
"(8, 5)",up,-0.5135707411128989
"(8, 5)",down,-0.25872386849407947
"(8, 5)",left,-0.2571776412661072
"(8, 5)",right,-0.02343223183811722
"(8, 6)",up,-0.5343148588526302
"(8, 6)",down,-0.2035220997069659
"(8, 6)",left,-0.18751978851441856
"(8, 6)",right,0.10706876723751726
"(8, 7)",up,0.24265320057872705
"(8, 7)",down,-0.15677562913405546
"(8, 7)",left,-0.10902740382699332
"(8, 7)",right,-0.15043928755190134
"(8, 8)",up,-0.1248186033174001
"(8, 8)",down,-0.13411569352284874
"(8, 8)",left,-0.0452884337828977
"(8, 8)",right,-0.13147498493725823
"(8, 9)",up,-0.1342716151327144
"(8, 9)",down,-0.13457800293280836
"(8, 9)",left,-0.1336687915924589
"(9, 0)",up,-0.43213097159385844
"(9, 0)",right,-0.4319228330109543
"(9, 1)",up,-0.418607576741501
"(9, 1)",left,-0.41870021505331034
"(9, 1)",right,-0.41848393579365306
"(9, 2)",up,-0.39141200603316056
"(9, 2)",left,-0.3922523583749658
"(9, 2)",right,-0.3914215078588321
"(9, 3)",up,-0.3497991364607521
"(9, 3)",left,-0.355194396094744
"(9, 3)",right,-0.3503439247369026
"(9, 4)",up,-0.28635321388499335
"(9, 4)",left,-0.3123280846633719
"(9, 4)",right,-0.2991768623090469
"(9, 5)",up,-0.21688924356124095
"(9, 5)",left,-0.25517982063918593
"(9, 5)",right,-0.244875687571417
"(9, 6)",up,-0.14291610426599038
"(9, 6)",left,-0.21036266655868593
"(9, 6)",right,-0.19100435404059282
"(9, 7)",up,-0.04158182583530324
"(9, 7)",left,-0.16299846043996724
"(9, 7)",right,-0.1532709298272063
"(9, 8)",up,-0.1404573143284966
"(9, 8)",left,-0.14040110988990015
"(9, 8)",right,-0.14044471746904713
"(9, 9)",up,-0.13722237052176775
"(9, 9)",left,-0.13804725997558068
